Date,Count,Average7
2020-03-11,1,NA
2020-03-12,0,NA
2020-03-13,0,NA
2020-03-14,1,NA
2020-03-15,1,NA
2020-03-16,3,NA
2020-03-17,1,1
2020-03-18,3,1.285714286
2020-03-19,4,1.857142857
2020-03-20,8,3
2020-03-21,6,3.714285714
2020-03-22,9,4.857142857
2020-03-23,12,6.142857143
2020-03-24,10,7.428571429
2020-03-25,15,9.142857143
2020-03-26,16,10.85714286
2020-03-27,17,12.14285714
2020-03-28,18,13.85714286
2020-03-29,29,16.71428571
2020-03-30,22,18.14285714
2020-03-31,18,19.28571429
2020-04-01,26,20.85714286
2020-04-02,19,21.28571429
2020-04-03,27,22.71428571
2020-04-04,21,23.14285714
2020-04-05,24,22.42857143
2020-04-06,16,21.57142857
2020-04-07,15,21.14285714
2020-04-08,13,19.28571429
2020-04-09,12,18.28571429
2020-04-10,8,15.57142857
2020-04-11,9,13.85714286
2020-04-12,8,11.57142857
2020-04-13,9,10.57142857
2020-04-14,6,9.285714286
2020-04-15,6,8.285714286
2020-04-16,9,7.857142857
2020-04-17,5,7.428571429
2020-04-18,7,7.142857143
2020-04-19,8,7.142857143
2020-04-20,5,6.571428571
2020-04-21,5,6.428571429
2020-04-22,5,6.285714286
2020-04-23,7,6
2020-04-24,7,6.285714286
2020-04-25,1,5.428571429
2020-04-26,1,4.428571429
2020-04-27,1,3.857142857
2020-04-28,1,3.285714286
2020-04-29,7,3.571428571
2020-04-30,4,3.142857143
2020-05-01,6,3
2020-05-02,3,3.285714286
2020-05-03,2,3.428571429
2020-05-04,3,3.714285714
2020-05-05,2,3.857142857
2020-05-06,2,3.142857143
2020-05-07,0,2.571428571
2020-05-08,4,2.285714286
2020-05-09,1,2
2020-05-10,1,1.857142857
2020-05-11,2,1.714285714
2020-05-12,0,1.428571429
2020-05-13,0,1.142857143
2020-05-14,1,1.285714286
2020-05-15,2,1
2020-05-16,0,0.857142857
2020-05-17,1,0.857142857
2020-05-18,1,0.714285714
2020-05-19,2,1
2020-05-20,0,1
2020-05-21,0,0.857142857
2020-05-22,1,0.714285714
2020-05-23,0,0.714285714
2020-05-24,1,0.714285714
2020-05-25,1,0.714285714
2020-05-26,0,0.428571429
2020-05-27,0,0.428571429
2020-05-28,0,0.428571429
2020-05-29,0,0.285714286
2020-05-30,0,0.285714286
2020-05-31,0,0.142857143
2020-06-01,1,0.142857143
2020-06-02,1,0.285714286
2020-06-03,1,0.428571429
2020-06-04,0,0.428571429
2020-06-05,0,0.428571429
2020-06-06,0,0.428571429
2020-06-07,1,0.571428571
2020-06-08,0,0.428571429
2020-06-09,0,0.285714286
2020-06-10,1,0.285714286
2020-06-11,0,0.285714286
2020-06-12,0,0.285714286
2020-06-13,0,0.285714286
2020-06-14,0,0.142857143
2020-06-15,0,0.142857143
2020-06-16,1,0.285714286
2020-06-17,1,0.285714286
2020-06-18,0,0.285714286
2020-06-19,0,0.285714286
2020-06-20,0,0.285714286
2020-06-21,0,0.285714286
2020-06-22,0,0.285714286
2020-06-23,0,0.142857143
2020-06-24,0,0
2020-06-25,0,0
2020-06-26,0,0
2020-06-27,0,0
2020-06-28,0,0
2020-06-29,0,0
2020-06-30,0,0
2020-07-01,0,0
2020-07-02,0,0
2020-07-03,0,0
2020-07-04,0,0
2020-07-05,0,0
2020-07-06,0,0
2020-07-07,0,0
2020-07-08,1,0.142857143
2020-07-09,1,0.285714286
2020-07-10,0,0.285714286
2020-07-11,0,0.285714286
2020-07-12,0,0.285714286
2020-07-13,0,0.285714286
2020-07-14,0,0.285714286
2020-07-15,0,0.142857143
2020-07-16,0,0
2020-07-17,0,0
2020-07-18,0,0
2020-07-19,0,0
2020-07-20,0,0
2020-07-21,0,0
2020-07-22,0,0
2020-07-23,0,0
2020-07-24,0,0
2020-07-25,1,0.142857143
2020-07-26,0,0.142857143
2020-07-27,0,0.142857143
2020-07-28,0,0.142857143
2020-07-29,0,0.142857143
2020-07-30,0,0.142857143
2020-07-31,0,0.142857143
2020-08-01,0,0
2020-08-02,0,0
2020-08-03,0,0
2020-08-04,0,0
2020-08-05,0,0
2020-08-06,0,0
2020-08-07,0,0
2020-08-08,0,0
2020-08-09,0,0
2020-08-10,0,0
2020-08-11,0,0
2020-08-12,0,0
2020-08-13,0,0
2020-08-14,0,0
2020-08-15,1,0.142857143
2020-08-16,0,0.142857143
2020-08-17,0,0.142857143
2020-08-18,0,0.142857143
2020-08-19,0,0.142857143
2020-08-20,0,0.142857143
2020-08-21,0,0.142857143
2020-08-22,0,0
2020-08-23,0,0
2020-08-24,1,0.142857143
2020-08-25,0,0.142857143
2020-08-26,0,0.142857143
2020-08-27,1,0.285714286
2020-08-28,1,0.428571429
2020-08-29,0,0.428571429
2020-08-30,0,0.428571429
2020-08-31,1,0.428571429
2020-09-01,0,0.428571429
2020-09-02,0,0.428571429
2020-09-03,0,0.285714286
2020-09-04,0,0.142857143
2020-09-05,0,0.142857143
2020-09-06,1,0.285714286
2020-09-07,0,0.142857143
2020-09-08,0,0.142857143
2020-09-09,1,0.285714286
2020-09-10,2,0.571428571
2020-09-11,1,0.714285714
2020-09-12,1,0.857142857
2020-09-13,0,0.714285714
2020-09-14,0,0.714285714
2020-09-15,0,0.714285714
2020-09-16,1,0.714285714
2020-09-17,1,0.571428571
2020-09-18,3,0.857142857
2020-09-19,0,0.714285714
2020-09-20,2,1
2020-09-21,0,1
2020-09-22,1,1.142857143
2020-09-23,3,1.428571429
2020-09-24,1,1.428571429
2020-09-25,1,1.142857143
2020-09-26,3,1.571428571
2020-09-27,2,1.571428571
2020-09-28,4,2.142857143
2020-09-29,2,2.285714286
2020-09-30,4,2.428571429
2020-10-01,2,2.571428571
2020-10-02,7,3.428571429
2020-10-03,3,3.428571429
2020-10-04,1,3.285714286
2020-10-05,6,3.571428571
2020-10-06,0,3.285714286
2020-10-07,7,3.714285714
2020-10-08,5,4.142857143
2020-10-09,4,3.714285714
2020-10-10,6,4.142857143
2020-10-11,5,4.714285714
2020-10-12,10,5.285714286
2020-10-13,10,6.714285714
2020-10-14,5,6.428571429
2020-10-15,10,7.142857143
2020-10-16,9,7.857142857
2020-10-17,4,7.571428571
2020-10-18,7,7.857142857
2020-10-19,13,8.285714286
2020-10-20,6,7.714285714
2020-10-21,11,8.571428571
2020-10-22,10,8.571428571
2020-10-23,8,8.428571429
2020-10-24,12,9.571428571
2020-10-25,10,10
2020-10-26,11,9.714285714
2020-10-27,9,10.14285714
2020-10-28,6,9.428571429
2020-10-29,8,9.142857143
2020-10-30,12,9.714285714
2020-10-31,8,9.142857143
2020-11-01,12,9.428571429
2020-11-02,9,9.142857143
2020-11-03,13,9.714285714
2020-11-04,6,9.714285714
2020-11-05,8,9.714285714
2020-11-06,8,9.142857143
2020-11-07,6,8.857142857
2020-11-08,7,8.142857143
2020-11-09,3,7.285714286
2020-11-10,5,6.142857143
2020-11-11,9,6.571428571
2020-11-12,6,6.285714286
2020-11-13,9,6.428571429
2020-11-14,13,7.428571429
2020-11-15,8,7.571428571
2020-11-16,7,8.142857143
2020-11-17,5,8.142857143
2020-11-18,10,8.285714286
2020-11-19,7,8.428571429
2020-11-20,9,8.428571429
2020-11-21,4,7.142857143
2020-11-22,6,6.857142857
2020-11-23,7,6.857142857
2020-11-24,12,7.857142857
2020-11-25,8,7.571428571
2020-11-26,9,7.857142857
2020-11-27,7,7.571428571
2020-11-28,3,7.428571429
2020-11-29,4,7.142857143
2020-11-30,7,7.142857143
2020-12-01,6,6.285714286
2020-12-02,4,5.714285714
2020-12-03,5,5.142857143
2020-12-04,5,4.857142857
2020-12-05,5,5.142857143
2020-12-06,3,5
2020-12-07,7,5
2020-12-08,6,5
2020-12-09,4,5
2020-12-10,7,5.285714286
2020-12-11,4,5.142857143
2020-12-12,3,4.857142857
2020-12-13,5,5.142857143
2020-12-14,7,5.142857143
2020-12-15,8,5.428571429
2020-12-16,6,5.714285714
2020-12-17,5,5.428571429
2020-12-18,8,6
2020-12-19,10,7
2020-12-20,3,6.714285714
2020-12-21,12,7.428571429
2020-12-22,3,6.714285714
2020-12-23,7,6.857142857
2020-12-24,1,6.285714286
2020-12-25,4,5.714285714
2020-12-26,8,5.428571429
2020-12-27,6,5.857142857
2020-12-28,12,5.857142857
2020-12-29,12,7.142857143
2020-12-30,9,7.428571429
2020-12-31,11,8.857142857
2021-01-01,17,10.71428571
2021-01-02,10,11
